iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
136	0.6741942902	0.6640959726	0.4971135343	0.8601553829	0.8601553829	0.749516441	0.6300813008	0.7125416204	0.6633370329
137	0.674065573	0.6635233605	0.4964720975	0.859045505	0.859045505	0.7487303507	0.6292682927	0.711709212	0.6625971143
138	0.6739324597	0.6629454702	0.4958253051	0.8568257492	0.8568257492	0.7475187606	0.6281529699	0.7105993341	0.6618571957
139	0.6738526395	0.6623655914	0.4951768489	0.8546059933	0.8546059933	0.7463048219	0.6270358306	0.7094894562	0.6611172771
140	0.673760713	0.66265578	0.4955012853	0.8557158713	0.8557158713	0.7469120853	0.6275946276	0.7100443951	0.6614872364
141	0.6736745039	0.662371134	0.4951830443	0.8557158713	0.8557158713	0.7467312349	0.6273393002	0.7097669256	0.6611172771
142	0.6735450891	0.66265578	0.4955012853	0.8557158713	0.8557158713	0.7469120853	0.6275946276	0.7100443951	0.6614872364
143	0.6734130499	0.6620867325	0.4948652118	0.8557158713	0.8557158713	0.746550472	0.6270841806	0.7094894562	0.6607473178
144	0.6732711888	0.662371134	0.4951830443	0.8557158713	0.8557158713	0.7467312349	0.6273393002	0.7097669256	0.6611172771
145	0.6731577166	0.6623655914	0.4951768489	0.8546059933	0.8546059933	0.7463048219	0.6270358306	0.7094894562	0.6611172771
146	0.6730362317	0.6623655914	0.4951768489	0.8546059933	0.8546059933	0.7463048219	0.6270358306	0.7094894562	0.6611172771
147	0.6729232925	0.66265578	0.4955012853	0.8557158713	0.8557158713	0.7469120853	0.6275946276	0.7100443951	0.6614872364
148	0.6728041384	0.6638005159	0.4967824968	0.8568257492	0.8568257492	0.7480620155	0.6289205703	0.7114317425	0.6629670736
149	0.6726801565	0.6640860215	0.4971023825	0.8568257492	0.8568257492	0.748243276	0.6291768541	0.711709212	0.6633370329
150	0.6725914618	0.6632346632	0.4961489089	0.8579356271	0.8579356271	0.7481248488	0.6287108581	0.711154273	0.662227155
151	0.672491343	0.6632346632	0.4961489089	0.8579356271	0.8579356271	0.7481248488	0.6287108581	0.711154273	0.662227155
152	0.6723680886	0.6617963043	0.4945407836	0.8546059933	0.8546059933	0.7459433277	0.6265256306	0.7089345172	0.6603773585
153	0.6722694381	0.6620808255	0.4948586118	0.8546059933	0.8546059933	0.746124031	0.6267806268	0.7092119867	0.6607473178
154	0.67214037	0.6632169038	0.4961290323	0.8534961154	0.8534961154	0.7464207717	0.62749898	0.7100443951	0.662227155
155	0.6719998324	0.6632169038	0.4961290323	0.8534961154	0.8534961154	0.7464207717	0.62749898	0.7100443951	0.662227155
156	0.6718714944	0.6629261977	0.4958037444	0.8523862375	0.8523862375	0.7458120903	0.6269387755	0.7094894562	0.6618571957
157	0.671727608	0.6626402071	0.495483871	0.8523862375	0.8523862375	0.745631068	0.6266829865	0.7092119867	0.6614872364
158	0.6715947439	0.6632169038	0.4961290323	0.8534961154	0.8534961154	0.7464207717	0.62749898	0.7100443951	0.662227155
159	0.6714838727	0.6629261977	0.4958037444	0.8523862375	0.8523862375	0.7458120903	0.6269387755	0.7094894562	0.6618571957
160	0.671377298	0.663207955	0.4961190168	0.8512763596	0.8512763596	0.7455650061	0.6268900695	0.7094894562	0.662227155
161	0.671244008	0.6637819126	0.496761658	0.8512763596	0.8512763596	0.7459275468	0.627402863	0.7100443951	0.6629670736
162	0.6711335618	0.6629213483	0.4957983193	0.8512763596	0.8512763596	0.7453838678	0.6266339869	0.7092119867	0.6618571957
163	0.6709788169	0.6629164864	0.4957928803	0.8501664817	0.8501664817	0.7449550207	0.6263286999	0.7089345172	0.6618571957
164	0.6708681911	0.6634906886	0.4964355152	0.8501664817	0.8501664817	0.745317441	0.6268412439	0.7094894562	0.6625971143
